breakdown Counter({'kept': 3557, 'rewritten': 1631, 'corrected': 812})
100/6000 24s
200/6000 47s
300/6000 70s
400/6000 93s
500/6000 116s
600/6000 139s
700/6000 162s
800/6000 185s
900/6000 208s
1000/6000 231s
1100/6000 254s
1200/6000 277s
1300/6000 300s
1400/6000 323s
1500/6000 346s
1600/6000 369s
1700/6000 392s
1800/6000 415s
1900/6000 438s
2000/6000 461s
2100/6000 484s
2200/6000 508s
2300/6000 531s
2400/6000 554s
2500/6000 577s
2600/6000 601s
2700/6000 624s
2800/6000 647s
2900/6000 670s
3000/6000 694s
3100/6000 719s
3200/6000 743s
3300/6000 770s
3400/6000 805s
3500/6000 840s
3600/6000 876s
3700/6000 912s
3800/6000 944s
3900/6000 971s
4000/6000 992s
4100/6000 1014s
4200/6000 1037s
4300/6000 1058s
4400/6000 1080s
4500/6000 1101s
4600/6000 1123s
4700/6000 1144s
4800/6000 1166s
4900/6000 1187s
5000/6000 1208s
5100/6000 1230s
5200/6000 1252s
5300/6000 1273s
5400/6000 1295s
5500/6000 1317s
5600/6000 1339s
5700/6000 1361s
5800/6000 1386s
5900/6000 1411s
6000/6000 1438s
