{'loss': '2.176', 'grad_norm': '9.295', 'learning_rate': '4.5e-06', 'epoch': '0.05333'}
{'loss': '1.477', 'grad_norm': '10.32', 'learning_rate': '9.5e-06', 'epoch': '0.1067'}
{'loss': '1.281', 'grad_norm': '24.37', 'learning_rate': '9.996e-06', 'epoch': '0.16'}
{'loss': '1.187', 'grad_norm': '9.277', 'learning_rate': '9.983e-06', 'epoch': '0.2133'}
{'loss': '1.152', 'grad_norm': '6.064', 'learning_rate': '9.961e-06', 'epoch': '0.2667'}
{'loss': '1.117', 'grad_norm': '8.412', 'learning_rate': '9.93e-06', 'epoch': '0.32'}
{'loss': '1.101', 'grad_norm': '8.626', 'learning_rate': '9.89e-06', 'epoch': '0.3733'}
{'loss': '1.097', 'grad_norm': '5.35', 'learning_rate': '9.841e-06', 'epoch': '0.4267'}
{'loss': '1.07', 'grad_norm': '5.352', 'learning_rate': '9.782e-06', 'epoch': '0.48'}
{'loss': '1.067', 'grad_norm': '6.834', 'learning_rate': '9.715e-06', 'epoch': '0.5333'}
{'loss': '1.057', 'grad_norm': '5.188', 'learning_rate': '9.64e-06', 'epoch': '0.5867'}
{'loss': '1.043', 'grad_norm': '5.122', 'learning_rate': '9.555e-06', 'epoch': '0.64'}
{'loss': '1.044', 'grad_norm': '4.577', 'learning_rate': '9.463e-06', 'epoch': '0.6933'}
{'loss': '1.039', 'grad_norm': '10.58', 'learning_rate': '9.362e-06', 'epoch': '0.7467'}
{'loss': '1.024', 'grad_norm': '7.62', 'learning_rate': '9.253e-06', 'epoch': '0.8'}
{'loss': '1.022', 'grad_norm': '6.147', 'learning_rate': '9.136e-06', 'epoch': '0.8533'}
{'loss': '1.014', 'grad_norm': '5.735', 'learning_rate': '9.012e-06', 'epoch': '0.9067'}
{'loss': '1.012', 'grad_norm': '6.25', 'learning_rate': '8.88e-06', 'epoch': '0.96'}
{'loss': '0.9833', 'grad_norm': '5.165', 'learning_rate': '8.741e-06', 'epoch': '1.011'}
{'loss': '0.8667', 'grad_norm': '15.49', 'learning_rate': '8.596e-06', 'epoch': '1.064'}
{'loss': '0.8609', 'grad_norm': '4.213', 'learning_rate': '8.443e-06', 'epoch': '1.117'}
{'loss': '0.8568', 'grad_norm': '9.508', 'learning_rate': '8.285e-06', 'epoch': '1.171'}
{'loss': '0.8583', 'grad_norm': '4.124', 'learning_rate': '8.12e-06', 'epoch': '1.224'}
{'loss': '0.8836', 'grad_norm': '6.554', 'learning_rate': '7.949e-06', 'epoch': '1.277'}
{'loss': '0.8708', 'grad_norm': '13.86', 'learning_rate': '7.773e-06', 'epoch': '1.331'}
{'loss': '0.8652', 'grad_norm': '6.159', 'learning_rate': '7.592e-06', 'epoch': '1.384'}
{'loss': '0.8601', 'grad_norm': '5.315', 'learning_rate': '7.407e-06', 'epoch': '1.437'}
{'loss': '0.8535', 'grad_norm': '4.212', 'learning_rate': '7.216e-06', 'epoch': '1.491'}
{'loss': '0.851', 'grad_norm': '5.192', 'learning_rate': '7.022e-06', 'epoch': '1.544'}
{'loss': '0.8458', 'grad_norm': '5.353', 'learning_rate': '6.824e-06', 'epoch': '1.597'}
{'loss': '0.8674', 'grad_norm': '7.886', 'learning_rate': '6.622e-06', 'epoch': '1.651'}
{'loss': '0.8494', 'grad_norm': '5.074', 'learning_rate': '6.418e-06', 'epoch': '1.704'}
{'loss': '0.8518', 'grad_norm': '4.383', 'learning_rate': '6.211e-06', 'epoch': '1.757'}
{'loss': '0.8534', 'grad_norm': '7.403', 'learning_rate': '6.002e-06', 'epoch': '1.811'}
{'loss': '0.8582', 'grad_norm': '9.763', 'learning_rate': '5.791e-06', 'epoch': '1.864'}
{'loss': '0.8513', 'grad_norm': '4.686', 'learning_rate': '5.578e-06', 'epoch': '1.917'}
{'loss': '0.8435', 'grad_norm': '5.186', 'learning_rate': '5.364e-06', 'epoch': '1.971'}
{'loss': '0.7634', 'grad_norm': '3.796', 'learning_rate': '5.15e-06', 'epoch': '2.021'}
{'loss': '0.6319', 'grad_norm': '3.983', 'learning_rate': '4.936e-06', 'epoch': '2.075'}
{'loss': '0.6241', 'grad_norm': '5.752', 'learning_rate': '4.721e-06', 'epoch': '2.128'}
{'loss': '0.6369', 'grad_norm': '3.423', 'learning_rate': '4.507e-06', 'epoch': '2.181'}
{'loss': '0.6309', 'grad_norm': '4.284', 'learning_rate': '4.294e-06', 'epoch': '2.235'}
{'loss': '0.6305', 'grad_norm': '5.819', 'learning_rate': '4.082e-06', 'epoch': '2.288'}
{'loss': '0.63', 'grad_norm': '5.701', 'learning_rate': '3.872e-06', 'epoch': '2.341'}
{'loss': '0.6341', 'grad_norm': '4.482', 'learning_rate': '3.664e-06', 'epoch': '2.395'}
{'loss': '0.6158', 'grad_norm': '4.059', 'learning_rate': '3.459e-06', 'epoch': '2.448'}
{'loss': '0.6448', 'grad_norm': '8.242', 'learning_rate': '3.256e-06', 'epoch': '2.501'}
{'loss': '0.622', 'grad_norm': '4.255', 'learning_rate': '3.057e-06', 'epoch': '2.555'}
{'loss': '0.6274', 'grad_norm': '23.73', 'learning_rate': '2.861e-06', 'epoch': '2.608'}
{'loss': '0.634', 'grad_norm': '3.367', 'learning_rate': '2.669e-06', 'epoch': '2.661'}
{'loss': '0.6317', 'grad_norm': '4.419', 'learning_rate': '2.481e-06', 'epoch': '2.715'}
{'loss': '0.6234', 'grad_norm': '4.431', 'learning_rate': '2.298e-06', 'epoch': '2.768'}
{'loss': '0.6321', 'grad_norm': '6.171', 'learning_rate': '2.12e-06', 'epoch': '2.821'}
{'loss': '0.6197', 'grad_norm': '5.55', 'learning_rate': '1.948e-06', 'epoch': '2.875'}
